Date,Close,High,Low,Open,Volume
2011-08-17,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-08-18,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-08-19,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-08-22,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-08-23,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-08-24,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-08-25,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-08-26,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-08-29,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-08-30,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-08-31,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-09-01,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-09-02,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-09-06,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-09-07,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-09-08,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-09-09,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-09-12,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-09-13,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-09-14,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-09-15,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-09-16,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-09-19,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-09-20,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-09-21,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-09-22,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
2011-09-23,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,3.0648569774566347e+33,0
